Dataset,FS,FE,Classifier,Configuration,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,delta_macro_f1
UNSW-NB15,VT,FS-only,NB,VT-FS-only-NB,0.8081,0.0598,0.583,0.0642,0.801,0.0071,0.0
UNSW-NB15,VT,PCA,NB,VT-PCA-NB,0.8079,0.0761,0.5746,0.0593,0.7972,0.0069,-0.0037
UNSW-NB15,VT,LDA,NB,VT-LDA-NB,0.8302,0.0543,0.7053,0.0614,0.8291,0.0046,0.1265
UNSW-NB15,VT,ICA,NB,VT-ICA-NB,0.8348,0.0686,0.5896,0.0711,0.8101,0.0088,0.0099
UNSW-NB15,VT,SVD,NB,VT-SVD-NB,0.8078,0.0653,0.5647,0.0585,0.7868,0.0069,-0.0163
UNSW-NB15,VT,FS-only,SVM,VT-FS-only-SVM,0.8933,0.0663,0.724,0.0655,0.8955,0.0069,0.0
UNSW-NB15,VT,PCA,SVM,VT-PCA-SVM,0.8931,0.0676,0.7123,0.0621,0.8872,0.0079,-0.015
UNSW-NB15,VT,LDA,SVM,VT-LDA-SVM,0.9203,0.0658,0.8494,0.0606,0.9246,0.0052,0.122
UNSW-NB15,VT,ICA,SVM,VT-ICA-SVM,0.8979,0.0569,0.7384,0.0631,0.9059,0.0066,0.0139
UNSW-NB15,VT,SVD,SVM,VT-SVD-SVM,0.8896,0.0716,0.7192,0.0644,0.8921,0.0065,-0.0045
UNSW-NB15,VT,FS-only,RF,VT-FS-only-RF,0.941,0.0674,0.7983,0.0646,0.9458,0.0075,0.0
UNSW-NB15,VT,PCA,RF,VT-PCA-RF,0.9362,0.0722,0.7884,0.0625,0.9432,0.0084,-0.0082
UNSW-NB15,VT,LDA,RF,VT-LDA-RF,0.9576,0.0457,0.9134,0.0582,0.9756,0.0044,0.1231
UNSW-NB15,VT,ICA,RF,VT-ICA-RF,0.9501,0.0773,0.8055,0.0654,0.9551,0.0079,0.0132
UNSW-NB15,VT,SVD,RF,VT-SVD-RF,0.9295,0.0742,0.7868,0.0664,0.9444,0.0074,-0.009
UNSW-NB15,VT,FS-only,ET,VT-FS-only-ET,0.9383,0.0649,0.8059,0.0707,0.9498,0.0077,0.0
UNSW-NB15,VT,PCA,ET,VT-PCA-ET,0.9396,0.0727,0.7927,0.0635,0.9395,0.0074,-0.0054
UNSW-NB15,VT,LDA,ET,VT-LDA-ET,0.9661,0.0583,0.9225,0.0492,0.9814,0.0043,0.1253
UNSW-NB15,VT,ICA,ET,VT-ICA-ET,0.9468,0.073,0.8179,0.0633,0.9521,0.0079,0.0211
UNSW-NB15,VT,SVD,ET,VT-SVD-ET,0.9304,0.0736,0.7982,0.0581,0.9438,0.0085,-0.0038
UNSW-NB15,VT,FS-only,GB,VT-FS-only-GB,0.9231,0.0734,0.7694,0.0552,0.935,0.0042,0.0
UNSW-NB15,VT,PCA,GB,VT-PCA-GB,0.9155,0.0634,0.7667,0.0692,0.9342,0.0082,-0.0026
UNSW-NB15,VT,LDA,GB,VT-LDA-GB,0.9378,0.052,0.8877,0.0511,0.9741,0.0053,0.1176
UNSW-NB15,VT,ICA,GB,VT-ICA-GB,0.9352,0.0706,0.7852,0.0642,0.9461,0.0077,0.0129
UNSW-NB15,VT,SVD,GB,VT-SVD-GB,0.9093,0.0766,0.7659,0.0706,0.93,0.0069,-0.0027
UNSW-NB15,VT,FS-only,XGB,VT-FS-only-XGB,0.9329,0.0743,0.7887,0.0669,0.9467,0.0071,0.0
UNSW-NB15,VT,PCA,XGB,VT-PCA-XGB,0.93,0.0708,0.7785,0.0606,0.9362,0.0073,-0.0057
UNSW-NB15,VT,LDA,XGB,VT-LDA-XGB,0.9502,0.0622,0.9051,0.0581,0.9757,0.0053,0.1182
UNSW-NB15,VT,ICA,XGB,VT-ICA-XGB,0.938,0.0582,0.8007,0.0651,0.9519,0.0075,0.0155
UNSW-NB15,VT,SVD,XGB,VT-SVD-XGB,0.9266,0.0718,0.779,0.0612,0.9375,0.0084,-0.0061
UNSW-NB15,VT,FS-only,LGBM,VT-FS-only-LGBM,0.9198,0.0668,0.7778,0.0666,0.9314,0.008,0.0
UNSW-NB15,VT,PCA,LGBM,VT-PCA-LGBM,0.9129,0.0667,0.7708,0.0671,0.9278,0.0071,-0.007
UNSW-NB15,VT,LDA,LGBM,VT-LDA-LGBM,0.9462,0.0607,0.8912,0.0583,0.9655,0.0065,0.1125
UNSW-NB15,VT,ICA,LGBM,VT-ICA-LGBM,0.9275,0.0655,0.7941,0.0612,0.9433,0.0085,0.0182
UNSW-NB15,VT,SVD,LGBM,VT-SVD-LGBM,0.9131,0.0785,0.7719,0.0668,0.9341,0.0059,-0.0038
UNSW-NB15,VT,FS-only,CAT,VT-FS-only-CAT,0.9345,0.0711,0.7891,0.0643,0.945,0.0082,0.0
UNSW-NB15,VT,PCA,CAT,VT-PCA-CAT,0.9252,0.0609,0.7834,0.0705,0.9417,0.0077,-0.0063
UNSW-NB15,VT,LDA,CAT,VT-LDA-CAT,0.9564,0.0604,0.9058,0.0616,0.9746,0.0045,0.118
UNSW-NB15,VT,ICA,CAT,VT-ICA-CAT,0.9447,0.0665,0.8065,0.07,0.9591,0.006,0.0171
UNSW-NB15,VT,SVD,CAT,VT-SVD-CAT,0.9208,0.0797,0.7814,0.0626,0.9306,0.008,-0.0097
UNSW-NB15,VT,FS-only,STACK,VT-FS-only-STACK,0.9482,0.0743,0.8079,0.0636,0.9532,0.0086,0.0
UNSW-NB15,VT,PCA,STACK,VT-PCA-STACK,0.9331,0.0678,0.7956,0.0632,0.9388,0.0078,-0.011
UNSW-NB15,VT,LDA,STACK,VT-LDA-STACK,0.9713,0.0643,0.9287,0.0556,0.9775,0.0051,0.1181
UNSW-NB15,VT,ICA,STACK,VT-ICA-STACK,0.9548,0.0591,0.8202,0.0636,0.9613,0.0079,0.0094
UNSW-NB15,VT,SVD,STACK,VT-SVD-STACK,0.9382,0.0742,0.8031,0.0645,0.9485,0.0065,-0.004
UNSW-NB15,ANOVA,FS-only,DT,ANOVA-FS-only-DT,0.9061,0.0726,0.7347,0.0576,0.9178,0.0077,0.0
UNSW-NB15,ANOVA,PCA,DT,ANOVA-PCA-DT,0.9081,0.0805,0.7238,0.063,0.9165,0.0077,-0.0069
UNSW-NB15,ANOVA,LDA,DT,ANOVA-LDA-DT,0.9268,0.0585,0.8539,0.0599,0.9499,0.0061,0.115
UNSW-NB15,ANOVA,ICA,DT,ANOVA-ICA-DT,0.9149,0.0665,0.7498,0.0679,0.9308,0.0072,0.0181
UNSW-NB15,ANOVA,SVD,DT,ANOVA-SVD-DT,0.8991,0.0707,0.7275,0.0664,0.9148,0.0081,-0.0076
UNSW-NB15,ANOVA,FS-only,LR,ANOVA-FS-only-LR,0.9288,0.0722,0.7503,0.0675,0.924,0.0077,0.0
UNSW-NB15,ANOVA,PCA,LR,ANOVA-PCA-LR,0.9055,0.0715,0.7388,0.0679,0.9123,0.0067,-0.0102
UNSW-NB15,ANOVA,LDA,LR,ANOVA-LDA-LR,0.9397,0.0591,0.8727,0.0553,0.9534,0.0045,0.1245
UNSW-NB15,ANOVA,ICA,LR,ANOVA-ICA-LR,0.9266,0.077,0.7628,0.0675,0.9332,0.0087,0.017
UNSW-NB15,ANOVA,SVD,LR,ANOVA-SVD-LR,0.9059,0.0585,0.739,0.0617,0.9126,0.0081,-0.0117
UNSW-NB15,ANOVA,FS-only,KNN,ANOVA-FS-only-KNN,0.9283,0.0636,0.7856,0.0647,0.9239,0.0077,0.0
UNSW-NB15,ANOVA,PCA,KNN,ANOVA-PCA-KNN,0.9191,0.0545,0.7719,0.0677,0.9208,0.008,-0.0139
UNSW-NB15,ANOVA,LDA,KNN,ANOVA-LDA-KNN,0.9503,0.0516,0.8961,0.0545,0.9625,0.0044,0.1119
UNSW-NB15,ANOVA,ICA,KNN,ANOVA-ICA-KNN,0.9339,0.0814,0.8003,0.059,0.937,0.0062,0.0179
UNSW-NB15,ANOVA,SVD,KNN,ANOVA-SVD-KNN,0.9135,0.0711,0.7725,0.0637,0.9253,0.0083,-0.0106
UNSW-NB15,ANOVA,FS-only,NB,ANOVA-FS-only-NB,0.8157,0.0678,0.5859,0.0543,0.7886,0.0075,0.0
UNSW-NB15,ANOVA,PCA,NB,ANOVA-PCA-NB,0.8144,0.0582,0.5804,0.0636,0.7861,0.0067,-0.0019
UNSW-NB15,ANOVA,LDA,NB,ANOVA-LDA-NB,0.8429,0.0567,0.7055,0.0627,0.8167,0.0066,0.1186
UNSW-NB15,ANOVA,ICA,NB,ANOVA-ICA-NB,0.8274,0.0796,0.6,0.0674,0.8008,0.0071,0.0166
UNSW-NB15,ANOVA,SVD,NB,ANOVA-SVD-NB,0.8131,0.0632,0.5749,0.0624,0.7856,0.0077,-0.006
UNSW-NB15,ANOVA,FS-only,SVM,ANOVA-FS-only-SVM,0.8939,0.0708,0.7254,0.0686,0.891,0.0091,0.0
UNSW-NB15,ANOVA,PCA,SVM,ANOVA-PCA-SVM,0.8838,0.0691,0.7143,0.0575,0.8838,0.0059,-0.0142
UNSW-NB15,ANOVA,LDA,SVM,ANOVA-LDA-SVM,0.9212,0.0675,0.8465,0.0559,0.9218,0.0053,0.1167
UNSW-NB15,ANOVA,ICA,SVM,ANOVA-ICA-SVM,0.9065,0.0628,0.7362,0.0645,0.9045,0.0066,0.0084
UNSW-NB15,ANOVA,SVD,SVM,ANOVA-SVD-SVM,0.8989,0.0745,0.718,0.0725,0.8841,0.0088,-0.0111
UNSW-NB15,ANOVA,FS-only,RF,ANOVA-FS-only-RF,0.9493,0.0679,0.7962,0.0571,0.9457,0.0068,0.0
UNSW-NB15,ANOVA,PCA,RF,ANOVA-PCA-RF,0.9294,0.0712,0.7871,0.062,0.9352,0.0073,-0.0105
UNSW-NB15,ANOVA,LDA,RF,ANOVA-LDA-RF,0.9666,0.0644,0.9208,0.0598,0.9793,0.0073,0.1216
UNSW-NB15,ANOVA,ICA,RF,ANOVA-ICA-RF,0.9503,0.0638,0.8124,0.0633,0.9541,0.0084,0.0126
UNSW-NB15,ANOVA,SVD,RF,ANOVA-SVD-RF,0.9325,0.0795,0.7833,0.0616,0.932,0.0074,-0.0128
UNSW-NB15,ANOVA,FS-only,ET,ANOVA-FS-only-ET,0.9495,0.0754,0.8043,0.0628,0.9448,0.0072,0.0
UNSW-NB15,ANOVA,PCA,ET,ANOVA-PCA-ET,0.9319,0.0562,0.7927,0.0622,0.938,0.0072,-0.0095
UNSW-NB15,ANOVA,LDA,ET,ANOVA-LDA-ET,0.9696,0.0409,0.9189,0.0636,0.9748,0.0071,0.1145
UNSW-NB15,ANOVA,ICA,ET,ANOVA-ICA-ET,0.9527,0.0758,0.8184,0.0753,0.9557,0.0075,0.0179
UNSW-NB15,ANOVA,SVD,ET,ANOVA-SVD-ET,0.935,0.0634,0.7951,0.0688,0.939,0.0067,-0.0048
UNSW-NB15,ANOVA,FS-only,GB,ANOVA-FS-only-GB,0.9321,0.0624,0.7722,0.0618,0.9353,0.0076,0.0
UNSW-NB15,ANOVA,PCA,GB,ANOVA-PCA-GB,0.923,0.0745,0.7683,0.0617,0.9355,0.0082,-0.001
UNSW-NB15,ANOVA,LDA,GB,ANOVA-LDA-GB,0.9492,0.0636,0.8933,0.0605,0.9688,0.0046,0.1226
UNSW-NB15,ANOVA,ICA,GB,ANOVA-ICA-GB,0.9325,0.0715,0.7847,0.0629,0.9441,0.0072,0.0097
UNSW-NB15,ANOVA,SVD,GB,ANOVA-SVD-GB,0.9265,0.0684,0.7705,0.0634,0.9269,0.0072,-0.0018
UNSW-NB15,ANOVA,FS-only,XGB,ANOVA-FS-only-XGB,0.9415,0.0737,0.7934,0.0628,0.9428,0.0065,0.0
UNSW-NB15,ANOVA,PCA,XGB,ANOVA-PCA-XGB,0.9206,0.0777,0.772,0.0613,0.9352,0.0071,-0.0188
UNSW-NB15,ANOVA,LDA,XGB,ANOVA-LDA-XGB,0.9626,0.0586,0.9012,0.0551,0.9711,0.0063,0.1155
UNSW-NB15,ANOVA,ICA,XGB,ANOVA-ICA-XGB,0.9522,0.0662,0.8003,0.0621,0.9602,0.0084,0.0105
UNSW-NB15,ANOVA,SVD,XGB,ANOVA-SVD-XGB,0.9312,0.0738,0.781,0.0629,0.9378,0.0064,-0.0058
UNSW-NB15,ANOVA,FS-only,LGBM,ANOVA-FS-only-LGBM,0.9253,0.0709,0.775,0.0683,0.9364,0.0072,0.0
UNSW-NB15,ANOVA,PCA,LGBM,ANOVA-PCA-LGBM,0.9236,0.0677,0.7745,0.0678,0.9161,0.0079,-0.0067
UNSW-NB15,ANOVA,LDA,LGBM,ANOVA-LDA-LGBM,0.9491,0.0638,0.9003,0.0662,0.9582,0.0051,0.1191
UNSW-NB15,ANOVA,ICA,LGBM,ANOVA-ICA-LGBM,0.9346,0.0735,0.7972,0.0614,0.9363,0.0078,0.0166
UNSW-NB15,ANOVA,SVD,LGBM,ANOVA-SVD-LGBM,0.9102,0.0683,0.7771,0.06,0.9189,0.0082,-0.0028
UNSW-NB15,ANOVA,FS-only,CAT,ANOVA-FS-only-CAT,0.9352,0.0767,0.7928,0.0573,0.9452,0.0071,0.0
UNSW-NB15,ANOVA,PCA,CAT,ANOVA-PCA-CAT,0.9217,0.0767,0.7823,0.0659,0.9385,0.009,-0.0161
UNSW-NB15,ANOVA,LDA,CAT,ANOVA-LDA-CAT,0.9545,0.0592,0.913,0.0567,0.9702,0.0048,0.1207
UNSW-NB15,ANOVA,ICA,CAT,ANOVA-ICA-CAT,0.9362,0.067,0.8076,0.07,0.9501,0.0085,0.0155
UNSW-NB15,ANOVA,SVD,CAT,ANOVA-SVD-CAT,0.9295,0.0678,0.7911,0.0698,0.9348,0.005,-0.0031
UNSW-NB15,ANOVA,FS-only,STACK,ANOVA-FS-only-STACK,0.9505,0.079,0.8075,0.0612,0.953,0.0069,0.0
UNSW-NB15,ANOVA,PCA,STACK,ANOVA-PCA-STACK,0.938,0.0673,0.8035,0.0688,0.9428,0.0068,-0.0024
UNSW-NB15,ANOVA,LDA,STACK,ANOVA-LDA-STACK,0.9685,0.0562,0.9346,0.0603,0.9857,0.0054,0.1259
UNSW-NB15,ANOVA,ICA,STACK,ANOVA-ICA-STACK,0.9632,0.0587,0.8289,0.0665,0.9566,0.0064,0.019
UNSW-NB15,ANOVA,SVD,STACK,ANOVA-SVD-STACK,0.9488,0.066,0.8019,0.065,0.9464,0.0094,-0.0086
UNSW-NB15,Chi2,FS-only,DT,Chi2-FS-only-DT,0.8961,0.0693,0.7457,0.0686,0.9206,0.0076,0.0
UNSW-NB15,Chi2,PCA,DT,Chi2-PCA-DT,0.8867,0.0642,0.7301,0.0587,0.9103,0.0061,-0.0087
UNSW-NB15,Chi2,LDA,DT,Chi2-LDA-DT,0.9142,0.0587,0.8554,0.0545,0.9577,0.0062,0.1193
UNSW-NB15,Chi2,ICA,DT,Chi2-ICA-DT,0.907,0.0703,0.7515,0.0648,0.9292,0.0073,0.0152
UNSW-NB15,Chi2,SVD,DT,Chi2-SVD-DT,0.8895,0.0709,0.729,0.0682,0.9152,0.0085,-0.0073
UNSW-NB15,Chi2,FS-only,LR,Chi2-FS-only-LR,0.9085,0.0687,0.7521,0.0618,0.9252,0.0076,0.0
UNSW-NB15,Chi2,PCA,LR,Chi2-PCA-LR,0.8967,0.0705,0.739,0.0617,0.922,0.0075,-0.0129
UNSW-NB15,Chi2,LDA,LR,Chi2-LDA-LR,0.929,0.0728,0.8604,0.0549,0.9476,0.0046,0.1071
UNSW-NB15,Chi2,ICA,LR,Chi2-ICA-LR,0.9158,0.0648,0.7722,0.0616,0.9404,0.0069,0.0195
UNSW-NB15,Chi2,SVD,LR,Chi2-SVD-LR,0.8995,0.0717,0.7403,0.061,0.9161,0.0069,-0.0116
UNSW-NB15,Chi2,FS-only,KNN,Chi2-FS-only-KNN,0.9072,0.07,0.7866,0.0784,0.9295,0.0076,0.0
UNSW-NB15,Chi2,PCA,KNN,Chi2-PCA-KNN,0.9015,0.0717,0.7804,0.0577,0.9277,0.0071,-0.0078
UNSW-NB15,Chi2,LDA,KNN,Chi2-LDA-KNN,0.9307,0.0572,0.9039,0.0621,0.9603,0.0054,0.1238
UNSW-NB15,Chi2,ICA,KNN,Chi2-ICA-KNN,0.9321,0.0661,0.8024,0.0632,0.9388,0.0077,0.0136
UNSW-NB15,Chi2,SVD,KNN,Chi2-SVD-KNN,0.9132,0.0704,0.7707,0.0636,0.9235,0.0081,-0.0211
UNSW-NB15,Chi2,FS-only,NB,Chi2-FS-only-NB,0.8157,0.0689,0.5912,0.0683,0.7948,0.0067,0.0
UNSW-NB15,Chi2,PCA,NB,Chi2-PCA-NB,0.7969,0.0643,0.581,0.0681,0.7835,0.0059,-0.0041
UNSW-NB15,Chi2,LDA,NB,Chi2-LDA-NB,0.8202,0.0666,0.7058,0.0563,0.8271,0.0033,0.1199
UNSW-NB15,Chi2,ICA,NB,Chi2-ICA-NB,0.8041,0.068,0.6051,0.0686,0.8076,0.0069,0.0215
UNSW-NB15,Chi2,SVD,NB,Chi2-SVD-NB,0.805,0.0715,0.5783,0.0587,0.7903,0.0077,-0.0103
UNSW-NB15,Chi2,FS-only,SVM,Chi2-FS-only-SVM,0.8905,0.0602,0.7322,0.0657,0.9013,0.0086,0.0
UNSW-NB15,Chi2,PCA,SVM,Chi2-PCA-SVM,0.8756,0.0659,0.7255,0.0639,0.8927,0.0078,-0.0069
UNSW-NB15,Chi2,LDA,SVM,Chi2-LDA-SVM,0.9087,0.06,0.8612,0.0533,0.9221,0.0073,0.1308
UNSW-NB15,Chi2,ICA,SVM,Chi2-ICA-SVM,0.8951,0.0621,0.7422,0.0613,0.9029,0.0075,0.01
UNSW-NB15,Chi2,SVD,SVM,Chi2-SVD-SVM,0.8789,0.0712,0.7236,0.0592,0.891,0.0082,-0.0089
UNSW-NB15,Chi2,FS-only,RF,Chi2-FS-only-RF,0.9351,0.0674,0.7991,0.0644,0.9432,0.009,0.0
UNSW-NB15,Chi2,PCA,RF,Chi2-PCA-RF,0.9279,0.0701,0.7954,0.0641,0.9359,0.0081,-0.0046
UNSW-NB15,Chi2,LDA,RF,Chi2-LDA-RF,0.9509,0.0483,0.9247,0.0603,0.9748,0.0054,0.1248
UNSW-NB15,Chi2,ICA,RF,Chi2-ICA-RF,0.9401,0.06,0.8147,0.0644,0.9567,0.0075,0.0136
UNSW-NB15,Chi2,SVD,RF,Chi2-SVD-RF,0.921,0.0652,0.7969,0.061,0.9392,0.0063,-0.0042
UNSW-NB15,Chi2,FS-only,ET,Chi2-FS-only-ET,0.9291,0.0745,0.8101,0.0679,0.9503,0.0075,0.0
UNSW-NB15,Chi2,PCA,ET,Chi2-PCA-ET,0.9121,0.0718,0.7936,0.0561,0.9427,0.0078,-0.0136
UNSW-NB15,Chi2,LDA,ET,Chi2-LDA-ET,0.9647,0.0555,0.9321,0.0606,0.9731,0.0041,0.1247
UNSW-NB15,Chi2,ICA,ET,Chi2-ICA-ET,0.9381,0.0663,0.8222,0.0671,0.9563,0.0077,0.0147
UNSW-NB15,Chi2,SVD,ET,Chi2-SVD-ET,0.9221,0.0762,0.8037,0.0575,0.9388,0.0064,-0.0027
UNSW-NB15,Chi2,FS-only,GB,Chi2-FS-only-GB,0.9158,0.0645,0.7827,0.0644,0.9339,0.0078,0.0
UNSW-NB15,Chi2,PCA,GB,Chi2-PCA-GB,0.912,0.0699,0.7663,0.0565,0.9294,0.008,-0.0099
UNSW-NB15,Chi2,LDA,GB,Chi2-LDA-GB,0.9314,0.0614,0.8999,0.0566,0.9688,0.0056,0.1226
UNSW-NB15,Chi2,ICA,GB,Chi2-ICA-GB,0.9164,0.0769,0.7926,0.0675,0.9452,0.0093,0.0126
UNSW-NB15,Chi2,SVD,GB,Chi2-SVD-GB,0.9043,0.0753,0.7682,0.0767,0.9302,0.008,-0.0042
UNSW-NB15,Chi2,FS-only,XGB,Chi2-FS-only-XGB,0.9306,0.0708,0.7933,0.0672,0.9472,0.0085,0.0
UNSW-NB15,Chi2,PCA,XGB,Chi2-PCA-XGB,0.9202,0.0781,0.7889,0.0573,0.9383,0.0083,-0.0057
UNSW-NB15,Chi2,LDA,XGB,Chi2-LDA-XGB,0.9483,0.0618,0.912,0.0606,0.9844,0.0047,0.1258
UNSW-NB15,Chi2,ICA,XGB,Chi2-ICA-XGB,0.9329,0.0659,0.8091,0.0682,0.9551,0.0072,0.0182
UNSW-NB15,Chi2,SVD,XGB,Chi2-SVD-XGB,0.9225,0.0738,0.7816,0.0602,0.9365,0.0069,-0.0128
UNSW-NB15,Chi2,FS-only,LGBM,Chi2-FS-only-LGBM,0.9096,0.0734,0.7877,0.0585,0.9302,0.0086,0.0
UNSW-NB15,Chi2,PCA,LGBM,Chi2-PCA-LGBM,0.9023,0.0716,0.7777,0.0675,0.9274,0.0076,-0.0045
UNSW-NB15,Chi2,LDA,LGBM,Chi2-LDA-LGBM,0.9339,0.0566,0.8974,0.0529,0.9607,0.005,0.1146
UNSW-NB15,Chi2,ICA,LGBM,Chi2-ICA-LGBM,0.9193,0.0682,0.8022,0.056,0.943,0.0089,0.0204
UNSW-NB15,Chi2,SVD,LGBM,Chi2-SVD-LGBM,0.9,0.0679,0.7764,0.0654,0.9323,0.0061,-0.0076
UNSW-NB15,Chi2,FS-only,CAT,Chi2-FS-only-CAT,0.9316,0.0755,0.7917,0.0573,0.9409,0.0077,0.0
UNSW-NB15,Chi2,PCA,CAT,Chi2-PCA-CAT,0.9176,0.0682,0.7842,0.0611,0.9376,0.0059,-0.0126
UNSW-NB15,Chi2,LDA,CAT,Chi2-LDA-CAT,0.9398,0.0561,0.9157,0.0535,0.9678,0.0049,0.1121
UNSW-NB15,Chi2,ICA,CAT,Chi2-ICA-CAT,0.9319,0.0651,0.8105,0.0671,0.956,0.0053,0.0177
UNSW-NB15,Chi2,SVD,CAT,Chi2-SVD-CAT,0.911,0.0708,0.7887,0.0621,0.9313,0.009,-0.008
UNSW-NB15,Chi2,FS-only,STACK,Chi2-FS-only-STACK,0.9363,0.0844,0.808,0.0636,0.9464,0.0098,0.0
UNSW-NB15,Chi2,PCA,STACK,Chi2-PCA-STACK,0.9339,0.0775,0.803,0.0632,0.9484,0.0047,-0.0085
UNSW-NB15,Chi2,LDA,STACK,Chi2-LDA-STACK,0.9553,0.0551,0.9325,0.0515,0.9844,0.0067,0.1156
UNSW-NB15,Chi2,ICA,STACK,Chi2-ICA-STACK,0.9411,0.0774,0.8277,0.0684,0.9627,0.0078,0.0154
UNSW-NB15,Chi2,SVD,STACK,Chi2-SVD-STACK,0.9349,0.0637,0.8083,0.0591,0.9368,0.0088,-0.0031
