FS,FE,Classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
VT,LDA,LR,0.8971,0.0634,0.7497,0.0686,0.8874,0.0062
VT,LDA,KNN,0.9307,0.0893,0.7856,0.0546,0.9222,0.0066
VT,LDA,NB,0.7981,0.0546,0.6547,0.0604,0.7911,0.0078
VT,LDA,SVM,0.9013,0.0635,0.7459,0.0616,0.8887,0.0073
VT,LDA,RF,0.9411,0.0702,0.7948,0.0634,0.9324,0.0063
VT,LDA,ET,0.9582,0.054,0.8082,0.0531,0.9463,0.0048
VT,LDA,GB,0.9284,0.0727,0.7845,0.0603,0.9223,0.0085
VT,LDA,XGB,0.9537,0.0782,0.7998,0.0542,0.9414,0.0068
VT,LDA,LGBM,0.953,0.0766,0.8008,0.0667,0.9397,0.0068
VT,LDA,CAT,0.954,0.069,0.8032,0.0519,0.9431,0.0063
VT,LDA,STACK,0.9841,0.0659,0.8346,0.0616,0.9769,0.0065
VT,ICA,DT,0.8538,0.0665,0.6999,0.0619,0.8467,0.007
VT,ICA,LR,0.8535,0.0723,0.7077,0.0624,0.8431,0.0071
VT,ICA,KNN,0.8811,0.0742,0.737,0.0588,0.8727,0.0065
VT,ICA,NB,0.76,0.0768,0.6042,0.0639,0.7487,0.0049
VT,ICA,SVM,0.8455,0.0532,0.6968,0.058,0.8364,0.0067
VT,ICA,RF,0.9149,0.0642,0.7658,0.0654,0.9033,0.0055
VT,ICA,ET,0.9206,0.0562,0.7707,0.0584,0.9128,0.0077
VT,ICA,GB,0.8867,0.0695,0.7421,0.0631,0.8785,0.0065
VT,ICA,XGB,0.901,0.071,0.7503,0.0609,0.8919,0.0071
VT,ICA,LGBM,0.9059,0.0661,0.752,0.0461,0.8979,0.0074
VT,ICA,CAT,0.906,0.0802,0.7625,0.0594,0.8964,0.0091
VT,ICA,STACK,0.9343,0.0821,0.7865,0.0677,0.9274,0.0076
VT,SVD,DT,0.8385,0.0594,0.6834,0.0665,0.8216,0.0065
VT,SVD,LR,0.8384,0.0737,0.6893,0.0657,0.8296,0.0076
VT,SVD,KNN,0.8651,0.0654,0.7135,0.0683,0.8531,0.0063
VT,SVD,NB,0.735,0.0808,0.5833,0.0533,0.7254,0.0068
VT,SVD,SVM,0.8231,0.0671,0.6744,0.0563,0.8132,0.0071
VT,SVD,RF,0.8884,0.0611,0.7397,0.0595,0.8775,0.0062
VT,SVD,ET,0.8916,0.0794,0.7442,0.0584,0.8837,0.0093
VT,SVD,GB,0.8781,0.0761,0.7337,0.0541,0.8761,0.0058
VT,SVD,XGB,0.8824,0.0655,0.7312,0.0623,0.8692,0.0087
VT,SVD,LGBM,0.8741,0.0716,0.7266,0.0539,0.8652,0.0067
VT,SVD,CAT,0.8947,0.0631,0.7429,0.0617,0.8806,0.0056
VT,SVD,STACK,0.9098,0.0762,0.7667,0.0574,0.9012,0.0065
ANOVA,None,DT,0.8662,0.0716,0.7135,0.06,0.8563,0.0073
ANOVA,None,LR,0.8691,0.0601,0.719,0.058,0.8582,0.0059
ANOVA,None,KNN,0.9063,0.0543,0.7542,0.0588,0.8944,0.0075
ANOVA,None,NB,0.7571,0.0598,0.619,0.0644,0.7539,0.0074
ANOVA,None,SVM,0.8622,0.0716,0.7102,0.0517,0.8472,0.0055
ANOVA,None,RF,0.9209,0.0624,0.7728,0.0589,0.9118,0.0054
ANOVA,None,ET,0.9369,0.0588,0.7843,0.0657,0.9287,0.0079
ANOVA,None,GB,0.911,0.0706,0.7638,0.0618,0.8985,0.0074
ANOVA,None,XGB,0.9138,0.0677,0.7691,0.056,0.9047,0.0078
ANOVA,None,LGBM,0.9243,0.0872,0.7687,0.0634,0.9098,0.0071
ANOVA,None,CAT,0.918,0.0709,0.7746,0.0629,0.9084,0.0071
ANOVA,None,STACK,0.9516,0.0558,0.8047,0.0463,0.943,0.0073
ANOVA,PCA,DT,0.8539,0.0701,0.7043,0.0614,0.8414,0.0073
ANOVA,PCA,LR,0.8626,0.0719,0.714,0.0604,0.8528,0.0058
ANOVA,PCA,KNN,0.8934,0.0689,0.7444,0.0594,0.8858,0.006
ANOVA,PCA,NB,0.7571,0.0902,0.6047,0.0641,0.7461,0.0073
ANOVA,PCA,SVM,0.8467,0.0602,0.6977,0.049,0.8383,0.0069
ANOVA,PCA,RF,0.9034,0.0621,0.7578,0.0609,0.8963,0.0094
ANOVA,PCA,ET,0.9017,0.0629,0.7586,0.0613,0.8925,0.0065
ANOVA,PCA,GB,0.916,0.075,0.7587,0.065,0.9027,0.0061
ANOVA,PCA,XGB,0.9137,0.0434,0.7639,0.0651,0.9011,0.0066
ANOVA,PCA,LGBM,0.9043,0.0665,0.7576,0.0628,0.8974,0.0072
ANOVA,PCA,CAT,0.9216,0.0649,0.7655,0.0665,0.9136,0.0069
ANOVA,PCA,STACK,0.9393,0.0677,0.7849,0.0596,0.9261,0.007
ANOVA,LDA,DT,0.8998,0.083,0.7583,0.0571,0.8934,0.0054
ANOVA,LDA,LR,0.9185,0.0718,0.7745,0.0669,0.9105,0.005
ANOVA,LDA,KNN,0.9527,0.0609,0.8025,0.0652,0.9433,0.0087
ANOVA,LDA,NB,0.8151,0.0841,0.6616,0.0556,0.8023,0.0061
ANOVA,LDA,SVM,0.8951,0.0706,0.7482,0.0643,0.8814,0.0074
ANOVA,LDA,RF,0.9622,0.0689,0.8136,0.0571,0.9528,0.0068
ANOVA,LDA,ET,0.9792,0.0656,0.8311,0.054,0.9703,0.0085
ANOVA,LDA,GB,0.9694,0.071,0.8154,0.0472,0.9589,0.0064
ANOVA,LDA,XGB,0.9656,0.0702,0.8247,0.0587,0.9627,0.0083
ANOVA,LDA,LGBM,0.9599,0.0522,0.8033,0.0562,0.9493,0.007
ANOVA,LDA,CAT,0.9674,0.0753,0.8164,0.061,0.9574,0.0076
ANOVA,LDA,STACK,1.0041,0.0664,0.8523,0.0509,0.9924,0.0078
ANOVA,ICA,DT,0.8597,0.0634,0.716,0.0544,0.8556,0.0081
ANOVA,ICA,LR,0.872,0.0745,0.7243,0.0639,0.8626,0.0065
ANOVA,ICA,KNN,0.909,0.0592,0.758,0.0448,0.8997,0.0074
ANOVA,ICA,NB,0.7776,0.0682,0.6318,0.0619,0.7703,0.0068
ANOVA,ICA,SVM,0.8552,0.0641,0.7122,0.0621,0.8494,0.0072
ANOVA,ICA,RF,0.9246,0.057,0.7794,0.0517,0.9198,0.0066
ANOVA,ICA,ET,0.9433,0.0733,0.793,0.0645,0.9326,0.0074
ANOVA,ICA,GB,0.9278,0.067,0.7764,0.0525,0.9185,0.0066
ANOVA,ICA,XGB,0.9285,0.07,0.7781,0.0539,0.9187,0.0087
ANOVA,ICA,LGBM,0.9166,0.074,0.7666,0.0594,0.908,0.0066
ANOVA,ICA,CAT,0.9276,0.0837,0.7754,0.0613,0.9179,0.0084
ANOVA,ICA,STACK,0.9646,0.0693,0.8152,0.055,0.9515,0.0067
ANOVA,SVD,DT,0.8488,0.0752,0.697,0.0678,0.8379,0.0047
ANOVA,SVD,LR,0.8598,0.0605,0.7111,0.0622,0.8509,0.0057
ANOVA,SVD,KNN,0.8853,0.0635,0.7353,0.0537,0.8767,0.0071
ANOVA,SVD,NB,0.7522,0.0512,0.6099,0.0654,0.7439,0.0074
ANOVA,SVD,SVM,0.8381,0.0802,0.6903,0.0554,0.8309,0.0074
ANOVA,SVD,RF,0.9176,0.0787,0.7671,0.062,0.9053,0.0081
ANOVA,SVD,ET,0.923,0.0938,0.7667,0.0458,0.9131,0.0054
ANOVA,SVD,GB,0.8955,0.0809,0.7517,0.0647,0.8871,0.0052
ANOVA,SVD,XGB,0.9045,0.0579,0.7583,0.056,0.8989,0.0081
ANOVA,SVD,LGBM,0.8996,0.0696,0.7461,0.0655,0.8868,0.0091
ANOVA,SVD,CAT,0.9121,0.0671,0.7663,0.0611,0.9042,0.0077
ANOVA,SVD,STACK,0.9473,0.0645,0.7966,0.0595,0.9342,0.0065
Chi2,None,DT,0.8638,0.0611,0.7181,0.0574,0.8586,0.0066
Chi2,None,LR,0.8763,0.0618,0.7253,0.0662,0.8678,0.0076
Chi2,None,KNN,0.9166,0.0572,0.7575,0.0547,0.905,0.0048
Chi2,None,NB,0.7812,0.0687,0.6295,0.0551,0.7659,0.0059
Chi2,None,SVM,0.8607,0.073,0.7162,0.0628,0.8562,0.0077
Chi2,None,RF,0.9352,0.0782,0.7839,0.0517,0.9252,0.0087
Chi2,None,ET,0.9421,0.0727,0.7934,0.0565,0.9335,0.0054
Chi2,None,GB,0.9255,0.0702,0.7736,0.0601,0.9158,0.0059
Chi2,None,XGB,0.935,0.0719,0.7892,0.0589,0.9278,0.007
Chi2,None,LGBM,0.9131,0.0693,0.7682,0.051,0.908,0.0067
Chi2,None,CAT,0.9407,0.0715,0.7874,0.0626,0.9293,0.0057
Chi2,None,STACK,0.9563,0.0695,0.8126,0.0621,0.9486,0.007
Chi2,PCA,DT,0.8532,0.0592,0.7055,0.0666,0.8429,0.0061
Chi2,PCA,LR,0.8719,0.0661,0.7179,0.0559,0.8621,0.0078
Chi2,PCA,KNN,0.9011,0.0689,0.7547,0.062,0.8962,0.007
Chi2,PCA,NB,0.7718,0.0874,0.6173,0.0632,0.7604,0.0063
Chi2,PCA,SVM,0.8541,0.0701,0.7067,0.0684,0.8441,0.007
Chi2,PCA,RF,0.9148,0.0923,0.7658,0.057,0.9038,0.0073
Chi2,PCA,ET,0.9379,0.0693,0.7869,0.0575,0.9278,0.008
Chi2,PCA,GB,0.9091,0.0731,0.7603,0.0643,0.8977,0.0067
Chi2,PCA,XGB,0.9253,0.0681,0.7712,0.0582,0.9141,0.0091
Chi2,PCA,LGBM,0.9038,0.0585,0.7638,0.0573,0.9015,0.007
Chi2,PCA,CAT,0.9102,0.0659,0.7683,0.0532,0.9052,0.0066
Chi2,PCA,STACK,0.9508,0.071,0.7973,0.0601,0.9408,0.0072
Chi2,LDA,DT,0.9167,0.0787,0.7711,0.0549,0.9108,0.0073
Chi2,LDA,LR,0.9368,0.0594,0.7854,0.0568,0.9247,0.0061
Chi2,LDA,KNN,0.963,0.0604,0.8089,0.0557,0.949,0.0052
Chi2,LDA,NB,0.8308,0.0647,0.6803,0.0589,0.818,0.0061
Chi2,LDA,SVM,0.9222,0.0682,0.7714,0.056,0.9094,0.0075
Chi2,LDA,RF,0.9781,0.066,0.8229,0.07,0.9603,0.0055
Chi2,LDA,ET,0.9812,0.0882,0.8327,0.0566,0.9738,0.0072
Chi2,LDA,GB,0.9678,0.056,0.8174,0.0541,0.9603,0.0083
Chi2,LDA,XGB,0.9813,0.0674,0.8352,0.0498,0.9715,0.008
Chi2,LDA,LGBM,0.9718,0.0721,0.8218,0.0592,0.9579,0.0083
Chi2,LDA,CAT,0.9805,0.0847,0.8302,0.0717,0.9694,0.0067
Chi2,LDA,STACK,1.018,0.0616,0.868,0.0587,1.0089,0.0056
Chi2,ICA,DT,0.8737,0.083,0.725,0.0684,0.8626,0.0065
Chi2,ICA,LR,0.893,0.0844,0.7424,0.0738,0.8822,0.0073
Chi2,ICA,KNN,0.9239,0.0659,0.7725,0.0594,0.9097,0.0072
Chi2,ICA,NB,0.8023,0.0572,0.6426,0.0612,0.7852,0.0062
Chi2,ICA,SVM,0.8776,0.0693,0.7282,0.0647,0.8691,0.0078
Chi2,ICA,RF,0.9402,0.0797,0.7901,0.0678,0.9321,0.0078
Chi2,ICA,ET,0.956,0.0614,0.8011,0.0669,0.9472,0.0067
Chi2,ICA,GB,0.9293,0.0806,0.7793,0.0581,0.9204,0.0069
Chi2,ICA,XGB,0.9382,0.067,0.7853,0.0622,0.9241,0.0077
Chi2,ICA,LGBM,0.9307,0.0741,0.7822,0.0609,0.9198,0.0072
Chi2,ICA,CAT,0.9372,0.0789,0.789,0.0605,0.9256,0.0066
Chi2,ICA,STACK,0.9702,0.0518,0.8179,0.0605,0.9586,0.0072
Chi2,SVD,DT,0.8572,0.0856,0.7098,0.0612,0.8468,0.0087
Chi2,SVD,LR,0.8674,0.071,0.716,0.0555,0.8567,0.0053
Chi2,SVD,KNN,0.909,0.0621,0.7551,0.0635,0.8938,0.0059
Chi2,SVD,NB,0.7659,0.0714,0.6148,0.0546,0.7581,0.0065
Chi2,SVD,SVM,0.8642,0.0777,0.709,0.0566,0.8512,0.0081
Chi2,SVD,RF,0.9288,0.0811,0.772,0.0511,0.917,0.0073
Chi2,SVD,ET,0.9386,0.0615,0.7872,0.0621,0.9285,0.0064
Chi2,SVD,GB,0.9154,0.0719,0.7564,0.0555,0.8959,0.008
Chi2,SVD,XGB,0.913,0.0576,0.7633,0.0663,0.9024,0.0063
Chi2,SVD,LGBM,0.9116,0.0702,0.7611,0.0596,0.9014,0.0074
Chi2,SVD,CAT,0.9181,0.0557,0.7714,0.0621,0.9083,0.0056
Chi2,SVD,STACK,0.9497,0.0733,0.8004,0.0647,0.9423,0.006
